Series,Class Code,Class Title,Grade,Salary Schedule,FLSA Status
9260,7610,SHERIFF,0,17,E
4000,720,LEGISLATIVE INTERN,11,1,N
6500,5213,WORK FORCE LEADER I,13,2,N
8100,204,SENIOR INVESTMENT OFFICER,39,1,E
4000,716,LEGISLATIVE ANALYST II,26,1,E
1100,7811,"DEPUTY DIRECTOR, DEPARTMENT OF GENERAL SERVICES",0,18,E
4400,4454,"MANAGER, TAXICAB REGULATION AND SPECIAL TRANSIT SERVICES",26,1,E
100,7854,ASSISTANT CHIEF ADMINISTRATIVE OFFICER,0,18,E
2200,7954,"DIRECTOR, DEPARTMENT OF ECONOMIC DEVELOPMENT",0,17,E
7800,4045,TRAFFIC SIGN AND MARKING AIDE,13,2,N
4400,424,MANAGEMENT AND BUDGET SPECIALIST III,25,1,E
5000,5042,CARPENTER II,18,2,N
500,7900,CHIEF ADMINISTRATIVE OFFICER,0,17,E
200,9237,SUPPLY TECHNICIAN I,10,2,N
600,7810,"CHIEF OPERATING OFFICER, DEPARTMENT OF HEALTH & HUMAN SERVICES",0,18,E
5000,8120,WAREHOUSE EQUIPMENT OPERATOR,13,2,N
7800,1062,RECREATION ASSISTANT III,S3,7,N
2700,205004,EMERGENCY VEHICLE MECHANIC TRAINEE,12,2,N
2400,5073,ELECTRICIAN I,18,2,N
4100,1180,LIBRARY PAGE,S2,7,N
4400,5189,MAIL SERVICES SUPERVISOR,17,1,E
2400,5074,ELECTRICIAN APPRENTICE,11,2,N
4000,722,LEGISLATIVE SERVICES COORDINATOR,17,1,N
600,7845,CHIEF TECHNOLOGY OFFICER,0,18,E
1000,650,COUNTY GOVERNMENT AIDE (NM),S1,7,N
4000,4059,LAND SURVEY SUPERVISOR,24,1,E
2200,7917,"DIRECTOR, DEPARTMENT OF POLICE",0,17,E
5000,724,OIG INVESTIGATIVE ANALYST II,26,1,E
7900,104465,SAFETY AND TRAINING INSTRUCTOR,19,1,N
500,9235,SUPPLY TECHNICIAN III,13,2,N
200,6106,ASSISTANT COUNTY ATTORNEY III,32,1,E
4000,6114,LEGAL SECRETARY I,15,1,N
7900,4430,SENIOR BUSINESS DEVELOPMENT SPECIALIST,27,1,E
2200,7930,"DIRECTOR, DEPARTMENT OF PUBLIC LIBRARIES",0,17,E
700,100120,COMPENSATION ANALYST,27,1,E
1100,100875,CUSTOMER SERVICE REPRESENTATIVE LEADER,18,1,E
9260,5223,SIGN AND MARKING UNIT SUPERVISOR,21,1,E
2800,2237,ENVIRONMENTAL COMPLIANCE SUPERVISOR,26,1,E
4400,132005,MEDICAL DOCTOR  PSYCHIATRIST III,MD3,13,E
500,7805,"CHIEF BROADBAND OFFICER, DEPARTMENT OF TECHNOLOGY",0,18,E
200,2805,SUPERVISORY SOCIAL WORKER,26,1,E
200,5016,AUTOBODY REPAIRER APPRENTICE,11,2,N
2200,7935,"DIRECTOR, DEPARTMENT OF LIQUOR CONTROL",0,17,E
4500,667,NUTRITION PROGRAM AIDE,S3,7,N
500,4060,SURVEY CREW LEADER,19,1,N
